NRGSTREAM Data Extract for stream : AB - Actual AIL
Generated at : 03/28/2023 11:23 with : 8760 records
Date criteria from : Jan 01 2022 to : Jan 01 2023
Data Interval : 60 minutes

Date/Time,Load
01/01/2022 00:00,10746
01/01/2022 01:00,10618
01/01/2022 02:00,10499
01/01/2022 03:00,10451
01/01/2022 04:00,10408
01/01/2022 05:00,10401
01/01/2022 06:00,10438
01/01/2022 07:00,10529
01/01/2022 08:00,10576
01/01/2022 09:00,10625
01/01/2022 10:00,10756
01/01/2022 11:00,10822
01/01/2022 12:00,10851
01/01/2022 13:00,10839
01/01/2022 14:00,10747
01/01/2022 15:00,10770
01/01/2022 16:00,11119
01/01/2022 17:00,11295
01/01/2022 18:00,11141
01/01/2022 19:00,10946
01/01/2022 20:00,10787
01/01/2022 21:00,10543
01/01/2022 22:00,10289
01/01/2022 23:00,9999
01/02/2022 00:00,9846
01/02/2022 01:00,9768
01/02/2022 02:00,9700
01/02/2022 03:00,9681
01/02/2022 04:00,9695
01/02/2022 05:00,9791
01/02/2022 06:00,9908
01/02/2022 07:00,10098
01/02/2022 08:00,10279
01/02/2022 09:00,10377
01/02/2022 10:00,10510
01/02/2022 11:00,10635
01/02/2022 12:00,10602
01/02/2022 13:00,10594
01/02/2022 14:00,10631
01/02/2022 15:00,10744
01/02/2022 16:00,11061
01/02/2022 17:00,11351
01/02/2022 18:00,11263
01/02/2022 19:00,11172
01/02/2022 20:00,11103
01/02/2022 21:00,10982
01/02/2022 22:00,10757
01/02/2022 23:00,10487
01/03/2022 00:00,10287
01/03/2022 01:00,10192
01/03/2022 02:00,10128
01/03/2022 03:00,10177
01/03/2022 04:00,10225
01/03/2022 05:00,10333
01/03/2022 06:00,10558
01/03/2022 07:00,10871
01/03/2022 08:00,11139
01/03/2022 09:00,11251
01/03/2022 10:00,11394
01/03/2022 11:00,11463
01/03/2022 12:00,11533
01/03/2022 13:00,11554
01/03/2022 14:00,11516
01/03/2022 15:00,11573
01/03/2022 16:00,11784
01/03/2022 17:00,11939
01/03/2022 18:00,11825
01/03/2022 19:00,11774
01/03/2022 20:00,11709
01/03/2022 21:00,11516
01/03/2022 22:00,11241
01/03/2022 23:00,10914
01/04/2022 00:00,10716
01/04/2022 01:00,10667
01/04/2022 02:00,10607
01/04/2022 03:00,10611
01/04/2022 04:00,10577
01/04/2022 05:00,10657
01/04/2022 06:00,10968
01/04/2022 07:00,11293
01/04/2022 08:00,11519
01/04/2022 09:00,11567
01/04/2022 10:00,11641
01/04/2022 11:00,11676
01/04/2022 12:00,11677
01/04/2022 13:00,11668
01/04/2022 14:00,11664
01/04/2022 15:00,11710
01/04/2022 16:00,11804
01/04/2022 17:00,11823
01/04/2022 18:00,11648
01/04/2022 19:00,11476
01/04/2022 20:00,11290
01/04/2022 21:00,11196
01/04/2022 22:00,10990
01/04/2022 23:00,10772
01/05/2022 00:00,10638
01/05/2022 01:00,10566
01/05/2022 02:00,10513
01/05/2022 03:00,10495
01/05/2022 04:00,10523
01/05/2022 05:00,10619
01/05/2022 06:00,10874
01/05/2022 07:00,11241
01/05/2022 08:00,11494
01/05/2022 09:00,11372
01/05/2022 10:00,11417
01/05/2022 11:00,11489
01/05/2022 12:00,11496
01/05/2022 13:00,11410
01/05/2022 14:00,11376
01/05/2022 15:00,11395
01/05/2022 16:00,11555
01/05/2022 17:00,11786
01/05/2022 18:00,11631
01/05/2022 19:00,11473
01/05/2022 20:00,11317
01/05/2022 21:00,11072
01/05/2022 22:00,10844
01/05/2022 23:00,10617
01/06/2022 00:00,10428
01/06/2022 01:00,10352
01/06/2022 02:00,10306
01/06/2022 03:00,10311
01/06/2022 04:00,10346
01/06/2022 05:00,10463
01/06/2022 06:00,10770
01/06/2022 07:00,11113
01/06/2022 08:00,11351
01/06/2022 09:00,11389
01/06/2022 10:00,11495
01/06/2022 11:00,11580
01/06/2022 12:00,11537
01/06/2022 13:00,11553
01/06/2022 14:00,11561
01/06/2022 15:00,11520
01/06/2022 16:00,11629
01/06/2022 17:00,11787
01/06/2022 18:00,11598
01/06/2022 19:00,11471
01/06/2022 20:00,11373
01/06/2022 21:00,11188
01/06/2022 22:00,10972
01/06/2022 23:00,10753
01/07/2022 00:00,10549
01/07/2022 01:00,10447
01/07/2022 02:00,10371
01/07/2022 03:00,10373
01/07/2022 04:00,10375
01/07/2022 05:00,10456
01/07/2022 06:00,10670
01/07/2022 07:00,11084
01/07/2022 08:00,11340
