NRGSTREAM Data Extract for stream : AB - Sheerness #2 Hr Avg
Generated at : 03/28/2023 11:22 with : 8760 records
Date criteria from : Jan 01 2022 to : Jan 01 2023
Data Interval : 60 minutes

Date/Time,MW
01/01/2022 00:00,122
01/01/2022 01:00,121
01/01/2022 02:00,121
01/01/2022 03:00,121
01/01/2022 04:00,121
01/01/2022 05:00,121
01/01/2022 06:00,121
01/01/2022 07:00,121
01/01/2022 08:00,120
01/01/2022 09:00,120
01/01/2022 10:00,120
01/01/2022 11:00,120
01/01/2022 12:00,120
01/01/2022 13:00,120
01/01/2022 14:00,120
01/01/2022 15:00,120
01/01/2022 16:00,120
01/01/2022 17:00,186
01/01/2022 18:00,163
01/01/2022 19:00,121
01/01/2022 20:00,121
01/01/2022 21:00,121
01/01/2022 22:00,121
01/01/2022 23:00,121
01/02/2022 00:00,121
01/02/2022 01:00,121
01/02/2022 02:00,121
01/02/2022 03:00,121
01/02/2022 04:00,122
01/02/2022 05:00,121
01/02/2022 06:00,122
01/02/2022 07:00,121
01/02/2022 08:00,122
01/02/2022 09:00,121
01/02/2022 10:00,122
01/02/2022 11:00,121
01/02/2022 12:00,122
01/02/2022 13:00,121
01/02/2022 14:00,122
01/02/2022 15:00,122
01/02/2022 16:00,121
01/02/2022 17:00,152
01/02/2022 18:00,332
01/02/2022 19:00,328
01/02/2022 20:00,329
01/02/2022 21:00,277
01/02/2022 22:00,265
01/02/2022 23:00,310
01/03/2022 00:00,243
01/03/2022 01:00,172
01/03/2022 02:00,166
01/03/2022 03:00,161
01/03/2022 04:00,234
01/03/2022 05:00,256
01/03/2022 06:00,289
01/03/2022 07:00,203
01/03/2022 08:00,263
01/03/2022 09:00,364
01/03/2022 10:00,371
01/03/2022 11:00,334
01/03/2022 12:00,371
01/03/2022 13:00,363
01/03/2022 14:00,362
01/03/2022 15:00,336
01/03/2022 16:00,328
01/03/2022 17:00,328
01/03/2022 18:00,253
01/03/2022 19:00,182
01/03/2022 20:00,210
01/03/2022 21:00,285
01/03/2022 22:00,174
01/03/2022 23:00,160
01/04/2022 00:00,122
01/04/2022 01:00,120
01/04/2022 02:00,120
01/04/2022 03:00,121
01/04/2022 04:00,120
01/04/2022 05:00,121
01/04/2022 06:00,147
01/04/2022 07:00,191
01/04/2022 08:00,189
01/04/2022 09:00,189
01/04/2022 10:00,268
01/04/2022 11:00,289
01/04/2022 12:00,288
01/04/2022 13:00,211
01/04/2022 14:00,191
01/04/2022 15:00,191
01/04/2022 16:00,191
01/04/2022 17:00,210
01/04/2022 18:00,253
01/04/2022 19:00,229
01/04/2022 20:00,189
01/04/2022 21:00,189
01/04/2022 22:00,211
