,Season,Day,Hour,U1,U2,U3,Load,Dispatch Cost
0,winter,Sunday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,winter,Sunday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,winter,Sunday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,winter,Sunday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,winter,Sunday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,winter,Sunday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,winter,Sunday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,winter,Sunday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,winter,Sunday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,winter,Sunday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,winter,Sunday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,winter,Sunday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,winter,Sunday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,winter,Sunday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,winter,Sunday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,winter,Sunday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,winter,Sunday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,winter,Sunday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,winter,Sunday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,winter,Sunday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,winter,Sunday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,winter,Sunday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,winter,Sunday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,winter,Sunday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,winter,Monday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,winter,Monday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,winter,Monday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,winter,Monday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,winter,Monday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,winter,Monday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,winter,Monday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,winter,Monday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,winter,Monday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,winter,Monday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,winter,Monday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,winter,Monday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,winter,Monday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,winter,Monday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,winter,Monday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,winter,Monday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,winter,Monday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,winter,Monday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,winter,Monday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,winter,Monday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,winter,Monday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,winter,Monday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,winter,Monday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,winter,Monday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,winter,Tuesday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,winter,Tuesday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,winter,Tuesday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,winter,Tuesday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,winter,Tuesday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,winter,Tuesday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,winter,Tuesday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,winter,Tuesday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,winter,Tuesday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,winter,Tuesday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,winter,Tuesday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,winter,Tuesday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,winter,Tuesday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,winter,Tuesday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,winter,Tuesday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,winter,Tuesday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,winter,Tuesday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,winter,Tuesday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,winter,Tuesday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,winter,Tuesday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,winter,Tuesday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,winter,Tuesday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,winter,Tuesday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,winter,Tuesday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,winter,Wednesday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,winter,Wednesday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,winter,Wednesday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,winter,Wednesday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,winter,Wednesday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,winter,Wednesday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,winter,Wednesday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,winter,Wednesday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,winter,Wednesday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,winter,Wednesday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,winter,Wednesday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,winter,Wednesday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,winter,Wednesday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,winter,Wednesday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,winter,Wednesday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,winter,Wednesday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,winter,Wednesday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,winter,Wednesday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,winter,Wednesday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,winter,Wednesday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,winter,Wednesday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,winter,Wednesday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,winter,Wednesday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
23,winter,Wednesday,23,1.0,0.6291679196624658,0.0,1.6291679196624658,618.1916126739386
0,winter,Thursday,0,0.9000000000000001,0.6984216809280368,0.0,1.598421680928037,618.1916126739386
1,winter,Thursday,1,1.0,0.5826202648149668,0.0,1.5826202648149668,618.1916126739386
2,winter,Thursday,2,1.0,0.5739267521437619,0.0,1.5739267521437619,618.1916126739386
3,winter,Thursday,3,1.0,0.571575676389914,0.0,1.571575676389914,618.1916126739386
4,winter,Thursday,4,1.0,0.5739632029306432,0.0,1.5739632029306432,618.1916126739386
5,winter,Thursday,5,1.0,0.5819641506511022,0.0,1.5819641506511022,618.1916126739386
6,winter,Thursday,6,1.0,0.6021214357964952,0.0,1.6021214357964952,618.1916126739386
7,winter,Thursday,7,1.0,0.6297146814656862,0.0,1.6297146814656862,618.1916126739386
8,winter,Thursday,8,0.9177777777777789,0.700695298759761,0.03777777777777777,1.6562508543153176,618.1916126739386
9,winter,Thursday,9,0.7177777777777785,0.7445510629960717,0.21555555555555556,1.6778843963294057,618.1916126739386
10,winter,Thursday,10,0.5177777777777781,0.7465113863145518,0.43333333333333335,1.6976224974256633,618.1916126739386
11,winter,Thursday,11,0.3177777777777778,0.7091956222604957,0.6822222222222222,1.7091956222604956,618.1916126739386
12,winter,Thursday,12,0.15111111111111108,0.7101797935062923,0.8488888888888889,1.7101797935062923,618.1916126739386
13,winter,Thursday,13,0.2088888888888889,0.705678121326444,0.7911111111111111,1.705678121326444,618.1916126739386
14,winter,Thursday,14,0.29999999999999993,0.7054776419985965,0.7000000000000001,1.7054776419985966,618.1916126739386
15,winter,Thursday,15,0.46444444444444444,0.7119841074569198,0.5355555555555556,1.7119841074569198,618.1916126739386
16,winter,Thursday,16,0.6644444444444448,0.8473010926123363,0.2288888888888889,1.74063442594567,618.1916126739386
17,winter,Thursday,17,0.8644444444444453,0.8895306049919344,0.031111111111111114,1.7850861605474908,618.1916126739386
18,winter,Thursday,18,1.0,0.784612300318033,0.0,1.784612300318033,618.1916126739386
19,winter,Thursday,19,1.0,0.7668060909264878,0.0,1.7668060909264878,618.1916126739386
20,winter,Thursday,20,1.0,0.7455735075680947,0.0,1.7455735075680947,618.1916126739386
21,winter,Thursday,21,1.0,0.7137155198337846,0.0,1.7137155198337846,618.1916126739386
22,winter,Thursday,22,1.0,0.6720704958218287,0.0,1.6720704958218287,618.1916126739386
