,Season,Day,Hour,U1,U2,U3,Load,Dispatch Cost
0,spring,Sunday,0,0.9000000000000001,0.5889753894100649,0.0,1.488975389410065,390.6139718670022
1,spring,Sunday,1,1.1000000000000008,0.3728501220750864,0.0,1.4728501220750871,390.6139718670022
2,spring,Sunday,2,1.25662811995954,0.19999999999999973,0.0,1.4566281199595397,390.6139718670022
3,spring,Sunday,3,1.2619863856311002,0.19999999999999973,0.0,1.4619863856311,390.6139718670022
4,spring,Sunday,4,1.2635131128200925,0.19999999999999973,0.0,1.4635131128200922,390.6139718670022
5,spring,Sunday,5,1.268068059226921,0.19999999999999973,0.0,1.4680680592269206,390.6139718670022
6,spring,Sunday,6,1.1772012945637182,0.28478130579335925,0.015384615384615385,1.4773672157416928,390.6139718670022
7,spring,Sunday,7,0.9772012945637176,0.41820817745364436,0.09846153846153846,1.4938710104789004,390.6139718670022
8,spring,Sunday,8,0.777201294563717,0.4147803594748549,0.32769230769230767,1.5196739617308797,390.6139718670022
9,spring,Sunday,9,0.5772012945637164,0.3024480628860182,0.6630769230769231,1.5427262805266577,390.6139718670022
10,spring,Sunday,10,0.37720129456371587,0.19999999999999973,0.9846153846153846,1.5618166791791002,390.6139718670022
11,spring,Sunday,11,0.33399087748960654,0.19999999999999973,1.036923076923077,1.5709139544126833,390.6139718670022
12,spring,Sunday,12,0.20191206808446238,0.19999999999999973,1.1723076923076923,1.5742197603921544,390.6139718670022
13,spring,Sunday,13,0.32929890416317065,0.19999999999999973,1.04,1.5692989041631704,390.6139718670022
14,spring,Sunday,14,0.4329013494501891,0.19999999999999973,0.9292307692307692,1.562132118680958,390.6139718670022
15,spring,Sunday,15,0.3873296784409723,0.19999999999999973,0.9784615384615385,1.5657912169025106,390.6139718670022
16,spring,Sunday,16,0.41569866695266555,0.19999999999999973,0.9646153846153845,1.5803140515680498,390.6139718670022
17,spring,Sunday,17,0.6156986669526663,0.313132251165548,0.66,1.5888309181182143,390.6139718670022
